qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Protein Name	Genomic position	Organism	Entry Name	Gene Name	Keywords	Comments	ID
FGENESH_gene3	tr|A0A3B6B201|A0A3B6B201_WHEAT	54.487	624	257	8	1	608	84	696	0.0	643	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2AChromosome 2A	Triticum aestivum (Wheat).	A0A3B6B201_WHEAT	[{'ORFNames': ['CFC21_018002 {ECO:0000313|EMBL:KAF7002518.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A3B6B201
FGENESH_gene3	tr|A0A3B6QHC0|A0A3B6QHC0_WHEAT	54.589	621	257	6	1	604	11	623	0.0	639	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6DChromosome 6D	Triticum aestivum (Wheat).	A0A3B6QHC0_WHEAT	[{'ORFNames': ['CFC21_092853 {ECO:0000313|EMBL:KAF7090024.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6QHC0
FGENESH_gene3	tr|A0A3B6QFE3|A0A3B6QFE3_WHEAT	54.589	621	257	6	1	604	89	701	0.0	638	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6DChromosome 6D	Triticum aestivum (Wheat).	A0A3B6QFE3_WHEAT	[{'ORFNames': ['CFC21_092853 {ECO:0000313|EMBL:KAF7090025.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6QFE3
FGENESH_gene3	tr|A0A3B6NR06|A0A3B6NR06_WHEAT	54.428	621	258	6	1	604	90	702	0.0	638	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6AChromosome 6A	Triticum aestivum (Wheat).	A0A3B6NR06_WHEAT	[{'ORFNames': ['CFC21_083692 {ECO:0000313|EMBL:KAF7079463.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6NR06
FGENESH_gene3	tr|A0A3B6PUF2|A0A3B6PUF2_WHEAT	52.365	613	262	8	1	587	107	715	0.0	630	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6BChromosome 6B	Triticum aestivum (Wheat).	A0A3B6PUF2_WHEAT	[{'ORFNames': ['CFC21_090005 {ECO:0000313|EMBL:KAF7086746.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6PUF2
FGENESH_gene3	tr|A0A3B6QK57|A0A3B6QK57_WHEAT	52.365	613	262	8	1	587	106	714	0.0	629	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6DChromosome 6D	Triticum aestivum (Wheat).	A0A3B6QK57_WHEAT	[{'ORFNames': ['CFC21_094430 {ECO:0000313|EMBL:KAF7091888.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6QK57
FGENESH_gene3	tr|A0A3B6NX67|A0A3B6NX67_WHEAT	51.876	613	265	7	1	587	103	711	0.0	626	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 6A	Triticum aestivum (Wheat).	A0A3B6NX67_WHEAT	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6NX67
FGENESH_gene3	tr|A0A3B6B2W1|A0A3B6B2W1_WHEAT	53.045	624	240	10	1	608	84	670	0.0	609	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 2AChromosome 2A	Triticum aestivum (Wheat).	A0A3B6B2W1_WHEAT	[{'ORFNames': ['CFC21_018002 {ECO:0000313|EMBL:KAF7002517.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]	A0A3B6B2W1
FGENESH_gene3	tr|A0A3B5XY13|A0A3B5XY13_WHEAT	46.732	612	261	12	1	603	71	626	5.51e-170	500	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 1A	Triticum aestivum (Wheat).	A0A3B5XY13_WHEAT	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B5XY13
FGENESH_gene3	tr|A0A3B5Z552|A0A3B5Z552_WHEAT	43.067	613	283	10	6	608	30	586	1.82e-152	454	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1BChromosome 1B	Triticum aestivum (Wheat).	A0A3B5Z552_WHEAT	[{'ORFNames': ['CFC21_009321 {ECO:0000313|EMBL:KAF6992315.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B5Z552
FGENESH_gene3	tr|A0A3B6C9A2|A0A3B6C9A2_WHEAT	43.887	638	292	12	1	598	17	628	1.11e-150	451	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2BChromosome 2B	Triticum aestivum (Wheat).	A0A3B6C9A2_WHEAT	[{'ORFNames': ['CFC21_024386 {ECO:0000313|EMBL:KAF7009899.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6C9A2
FGENESH_gene3	tr|A0A1D5UJ62|A0A1D5UJ62_WHEAT	45.146	618	273	13	7	584	23	614	5.29e-149	446	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:SPT18982.1};	Chromosome 2DChromosome iiChromosome 2D	Triticum aestivum (Wheat).	A0A1D5UJ62_WHEAT	[{'ORFNames': ['CAMPLR22A2D_LOCUS3596 {ECO:0000313|EMBL:SPT18982.1}', 'CFC21_030698 {ECO:0000313|EMBL:KAF7017229.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A1D5UJ62
FGENESH_gene3	tr|A0A3B6B1C4|A0A3B6B1C4_WHEAT	44.728	626	283	13	7	597	17	614	2.10e-148	445	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2AChromosome 2A	Triticum aestivum (Wheat).	A0A3B6B1C4_WHEAT	[{'ORFNames': ['CFC21_017950 {ECO:0000313|EMBL:KAF7002460.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6B1C4
FGENESH_gene3	tr|A0A3B6B2P7|A0A3B6B2P7_WHEAT	44.728	626	283	13	7	597	23	620	2.26e-148	445	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2AChromosome 2A	Triticum aestivum (Wheat).	A0A3B6B2P7_WHEAT	[{'ORFNames': ['CFC21_017950 {ECO:0000313|EMBL:KAF7002461.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6B2P7
FGENESH_gene3	tr|A0A3B5ZTN9|A0A3B5ZTN9_WHEAT	43.274	617	281	13	10	584	72	661	2.98e-146	441	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 1DChromosome 1D	Triticum aestivum (Wheat).	A0A3B5ZTN9_WHEAT	[{'ORFNames': ['CFC21_011187 {ECO:0000313|EMBL:KAF6994499.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B5ZTN9
FGENESH_gene3	tr|A0A3B6A373|A0A3B6A373_WHEAT	42.693	609	286	9	6	608	21	572	3.74e-145	434	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 1DChromosome 1D	Triticum aestivum (Wheat).	A0A3B6A373_WHEAT	[{'ORFNames': ['CFC21_014062 {ECO:0000313|EMBL:KAF6997893.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6A373
FGENESH_gene3	tr|A0A3B6KRR1|A0A3B6KRR1_WHEAT	45.928	614	267	15	10	558	26	639	4.67e-143	434	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KRR1_WHEAT	[{'ORFNames': ['CFC21_068950 {ECO:0000313|EMBL:KAF7062341.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6KRR1
FGENESH_gene3	tr|A0A3B5YV78|A0A3B5YV78_WHEAT	42.301	617	287	13	10	584	25	614	4.76e-142	428	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Chromosome 1BChromosome 1B	Triticum aestivum (Wheat).	A0A3B5YV78_WHEAT	[{'ORFNames': ['CFC21_006348 {ECO:0000313|EMBL:KAF6988927.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B5YV78
FGENESH_gene3	tr|A0A3B6IVF5|A0A3B6IVF5_WHEAT	44.352	602	277	16	10	558	26	622	3.44e-140	426	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4BChromosome 4B	Triticum aestivum (Wheat).	A0A3B6IVF5_WHEAT	[{'ORFNames': ['CFC21_059385 {ECO:0000313|EMBL:KAF7051108.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6IVF5
FGENESH_gene3	tr|A0A3B6MXJ9|A0A3B6MXJ9_WHEAT	44.123	587	259	11	4	580	2	529	5.74e-135	407	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 5DChromosome 5D	Triticum aestivum (Wheat).	A0A3B6MXJ9_WHEAT	[{'ORFNames': ['CFC21_079008 {ECO:0000313|EMBL:KAF7074098.1}']}]	['Reference proteome']	[]	A0A3B6MXJ9
FGENESH_gene3	tr|A0A3B6N0A4|A0A3B6N0A4_WHEAT	43.612	587	262	10	4	580	17	544	5.15e-134	406	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 5DChromosome 5D	Triticum aestivum (Wheat).	A0A3B6N0A4_WHEAT	[{'ORFNames': ['CFC21_080314 {ECO:0000313|EMBL:KAF7075548.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6N0A4
FGENESH_gene3	tr|A0A3B6IXA6|A0A3B6IXA6_WHEAT	42.535	576	279	12	5	557	91	637	5.45e-128	394	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4BChromosome 4B	Triticum aestivum (Wheat).	A0A3B6IXA6_WHEAT	[{'ORFNames': ['CFC21_059534 {ECO:0000313|EMBL:KAF7051282.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6IXA6
FGENESH_gene3	tr|A0A3B6RP47|A0A3B6RP47_WHEAT	43.396	583	281	9	6	584	20	557	4.31e-127	388	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 7AChromosome 7A	Triticum aestivum (Wheat).	A0A3B6RP47_WHEAT	[{'ORFNames': ['CFC21_099326 {ECO:0000313|EMBL:KAF7097518.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6RP47
FGENESH_gene3	tr|A0A3B6ERH0|A0A3B6ERH0_WHEAT	46.512	473	221	8	97	557	4	456	1.13e-124	380	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 3AChromosome 3A	Triticum aestivum (Wheat).	A0A3B6ERH0_WHEAT	[{'ORFNames': ['CFC21_037240 {ECO:0000313|EMBL:KAF7024982.1}']}]	['Reference proteome']	[]	A0A3B6ERH0
FGENESH_gene3	tr|A0A3B6JPC8|A0A3B6JPC8_WHEAT	47.718	482	225	9	101	558	172	650	4.43e-123	383	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4DChromosome 4D	Triticum aestivum (Wheat).	A0A3B6JPC8_WHEAT	[{'ORFNames': ['CFC21_063428 {ECO:0000313|EMBL:KAF7055964.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6JPC8
FGENESH_gene3	tr|A0A3B6JPC8|A0A3B6JPC8_WHEAT	62.500	40	15	0	10	49	40	79	3.81e-12	71.2	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 4DChromosome 4D	Triticum aestivum (Wheat).	A0A3B6JPC8_WHEAT	[{'ORFNames': ['CFC21_063428 {ECO:0000313|EMBL:KAF7055964.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6JPC8
FGENESH_gene3	tr|A0A3B6LN91|A0A3B6LN91_WHEAT	44.106	492	224	10	102	584	25	474	7.73e-118	361	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LN91_WHEAT	[{'ORFNames': ['CFC21_072412 {ECO:0000313|EMBL:KAF7066421.1}']}]	['Reference proteome']	[]	A0A3B6LN91
FGENESH_gene3	tr|A0A3B6KR57|A0A3B6KR57_WHEAT	45.339	472	242	8	163	618	13	484	1.46e-117	360	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KR57_WHEAT	[{'ORFNames': ['CFC21_068951 {ECO:0000313|EMBL:KAF7062342.1}']}]	['Reference proteome']	[]	A0A3B6KR57
FGENESH_gene3	tr|A0A3B5Y7D9|A0A3B5Y7D9_WHEAT	44.731	465	223	8	101	557	119	557	1.64e-117	365	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 1A	Triticum aestivum (Wheat).	A0A3B5Y7D9_WHEAT	[]	['Reference proteome']	[]	A0A3B5Y7D9
FGENESH_gene3	tr|A0A3B6KLR3|A0A3B6KLR3_WHEAT	44.309	492	245	9	102	584	25	496	3.88e-117	360	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KLR3_WHEAT	[{'ORFNames': ['CFC21_067382 {ECO:0000313|EMBL:KAF7060598.1}']}]	['Reference proteome']	[]	A0A3B6KLR3
FGENESH_gene3	tr|A0A3B6CDZ7|A0A3B6CDZ7_WHEAT	41.829	514	261	10	86	584	5	495	1.54e-113	351	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Chromosome 2BChromosome 2B	Triticum aestivum (Wheat).	A0A3B6CDZ7_WHEAT	[{'ORFNames': ['CFC21_025740 {ECO:0000313|EMBL:KAF7011426.1}']}]	['Reference proteome']	[]	A0A3B6CDZ7
FGENESH_gene3	tr|A0A3B6LRH3|A0A3B6LRH3_WHEAT	40.212	567	233	12	4	558	13	485	8.96e-106	330	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LRH3_WHEAT	[{'ORFNames': ['CFC21_072978 {ECO:0000313|EMBL:KAF7067059.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6LRH3
FGENESH_gene3	tr|A0A3B6JQ74|A0A3B6JQ74_WHEAT	38.448	567	245	13	4	557	16	491	4.72e-100	317	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Chromosome 4DChromosome 4D	Triticum aestivum (Wheat).	A0A3B6JQ74_WHEAT	[{'ORFNames': ['CFC21_063567 {ECO:0000313|EMBL:KAF7056129.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]	A0A3B6JQ74
FGENESH_gene3	tr|A0A3B6FXQ8|A0A3B6FXQ8_WHEAT	50.588	340	158	6	225	557	5	341	2.93e-93	295	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 3BChromosome 3B	Triticum aestivum (Wheat).	A0A3B6FXQ8_WHEAT	[{'ORFNames': ['CFC21_043178 {ECO:0000313|EMBL:KAF7031932.1}']}]	['Reference proteome']	[]	A0A3B6FXQ8
FGENESH_gene3	tr|A0A3B6DJY1|A0A3B6DJY1_WHEAT	40.213	470	210	10	123	584	94	500	3.33e-90	290	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 2DChromosome 2D	Triticum aestivum (Wheat).	A0A3B6DJY1_WHEAT	[{'ORFNames': ['CFC21_031703 {ECO:0000313|EMBL:KAF7018408.1}']}]	['Reference proteome']	[]	A0A3B6DJY1
FGENESH_gene3	tr|A0A3B6KLR1|A0A3B6KLR1_WHEAT	47.985	273	128	4	190	456	1	265	2.88e-71	233	RecName: Full=VWFA domain-containing protein {ECO:0000259|Pfam:PF00092};	Chromosome 5AChromosome 5A	Triticum aestivum (Wheat).	A0A3B6KLR1_WHEAT	[{'ORFNames': ['CFC21_066581 {ECO:0000313|EMBL:KAF7059715.1}']}]	['Reference proteome']	[]	A0A3B6KLR1
FGENESH_gene3	tr|A0A3B6LY34|A0A3B6LY34_WHEAT	30.087	462	282	12	116	570	1145	1572	8.14e-47	179	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LY34_WHEAT	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069293.1}']}]	['ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Coiled coil', 'Kinase', 'Nucleotide-binding {ECO:0000256|ARBA:ARBA00022741, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Reference proteome', 'Transferase']	[]	A0A3B6LY34
FGENESH_gene3	tr|A0A3B6LY34|A0A3B6LY34_WHEAT	29.012	486	275	20	105	559	682	1128	2.93e-36	147	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Chromosome 5BChromosome 5B	Triticum aestivum (Wheat).	A0A3B6LY34_WHEAT	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069293.1}']}]	['ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Coiled coil', 'Kinase', 'Nucleotide-binding {ECO:0000256|ARBA:ARBA00022741, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Reference proteome', 'Transferase']	[]	A0A3B6LY34
