qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	ID	Entry Name	Protein Name	Organism	Gene Name	Keywords	Comments
AUGUSTUS_g1.t1	tr|A0A3B6NR06|A0A3B6NR06_WHEAT	50.774	711	320	8	1	690	1	702	0.0	650	A0A3B6NR06	A0A3B6NR06_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_083692 {ECO:0000313|EMBL:KAF7079463.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6QK57|A0A3B6QK57_WHEAT	48.682	721	315	11	1	673	1	714	0.0	649	A0A3B6QK57	A0A3B6QK57_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_094430 {ECO:0000313|EMBL:KAF7091888.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6QHC0|A0A3B6QHC0_WHEAT	54.603	630	261	6	78	690	2	623	0.0	649	A0A3B6QHC0	A0A3B6QHC0_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_092853 {ECO:0000313|EMBL:KAF7090024.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6PUF2|A0A3B6PUF2_WHEAT	48.476	722	316	10	1	673	1	715	0.0	649	A0A3B6PUF2	A0A3B6PUF2_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_090005 {ECO:0000313|EMBL:KAF7086746.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6NX67|A0A3B6NX67_WHEAT	48.531	715	322	9	1	673	1	711	0.0	649	A0A3B6NX67	A0A3B6NX67_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6B2W1|A0A3B6B2W1_WHEAT	50.845	710	293	11	1	694	1	670	0.0	632	A0A3B6B2W1	A0A3B6B2W1_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_018002 {ECO:0000313|EMBL:KAF7002517.1}']}]	['Metal-binding', 'Reference proteome', 'Signal', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B5XY13|A0A3B5XY13_WHEAT	45.609	706	287	16	1	689	1	626	0.0	532	A0A3B5XY13	A0A3B5XY13_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B5Z552|A0A3B5Z552_WHEAT	43.450	626	286	11	79	694	19	586	3.37e-156	466	A0A3B5Z552	A0A3B5Z552_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_009321 {ECO:0000313|EMBL:KAF6992315.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6C9A2|A0A3B6C9A2_WHEAT	44.341	645	293	12	80	684	10	628	1.62e-154	464	A0A3B6C9A2	A0A3B6C9A2_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_024386 {ECO:0000313|EMBL:KAF7009899.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A1D5UJ62|A0A1D5UJ62_WHEAT	45.455	638	280	14	75	670	3	614	5.35e-151	454	A0A1D5UJ62	A0A1D5UJ62_WHEAT	SubName: Full=Uncharacterized protein {ECO:0000313|EMBL:SPT18982.1};	Triticum aestivum (Wheat).	[{'ORFNames': ['CAMPLR22A2D_LOCUS3596 {ECO:0000313|EMBL:SPT18982.1}', 'CFC21_030698 {ECO:0000313|EMBL:KAF7017229.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6B1C4|A0A3B6B1C4_WHEAT	45.440	625	295	11	80	686	4	600	1.41e-150	454	A0A3B6B1C4	A0A3B6B1C4_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_017950 {ECO:0000313|EMBL:KAF7002460.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6B2P7|A0A3B6B2P7_WHEAT	45.253	632	298	12	75	686	3	606	1.60e-150	454	A0A3B6B2P7	A0A3B6B2P7_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_017950 {ECO:0000313|EMBL:KAF7002461.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6A373|A0A3B6A373_WHEAT	43.087	622	289	10	79	694	10	572	3.96e-148	445	A0A3B6A373	A0A3B6A373_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_014062 {ECO:0000313|EMBL:KAF6997893.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B5ZTN9|A0A3B5ZTN9_WHEAT	43.465	635	289	14	79	670	54	661	8.17e-148	447	A0A3B5ZTN9	A0A3B5ZTN9_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_011187 {ECO:0000313|EMBL:KAF6994499.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KRR1|A0A3B6KRR1_WHEAT	46.508	630	272	15	80	644	10	639	6.52e-145	442	A0A3B6KRR1	A0A3B6KRR1_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_068950 {ECO:0000313|EMBL:KAF7062341.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B5YV78|A0A3B5YV78_WHEAT	42.520	635	295	14	79	670	7	614	1.07e-143	436	A0A3B5YV78	A0A3B5YV78_WHEAT	RecName: Full=Anaphase-promoting complex subunit 11 {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_006348 {ECO:0000313|EMBL:KAF6988927.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6IVF5|A0A3B6IVF5_WHEAT	44.822	618	283	15	80	644	10	622	5.78e-142	434	A0A3B6IVF5	A0A3B6IVF5_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_059385 {ECO:0000313|EMBL:KAF7051108.1}']}]	['Coiled coil', 'Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6N0A4|A0A3B6N0A4_WHEAT	43.719	597	265	11	80	666	9	544	3.51e-135	412	A0A3B6N0A4	A0A3B6N0A4_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_080314 {ECO:0000313|EMBL:KAF7075548.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6MXJ9|A0A3B6MXJ9_WHEAT	43.729	590	263	10	90	669	2	532	4.95e-133	405	A0A3B6MXJ9	A0A3B6MXJ9_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_079008 {ECO:0000313|EMBL:KAF7074098.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6RP47|A0A3B6RP47_WHEAT	43.667	600	287	10	75	670	5	557	6.84e-131	401	A0A3B6RP47	A0A3B6RP47_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_099326 {ECO:0000313|EMBL:KAF7097518.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6IXA6|A0A3B6IXA6_WHEAT	41.963	591	289	13	76	643	78	637	1.45e-127	396	A0A3B6IXA6	A0A3B6IXA6_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_059534 {ECO:0000313|EMBL:KAF7051282.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6ERH0|A0A3B6ERH0_WHEAT	46.512	473	221	8	183	643	4	456	4.84e-123	378	A0A3B6ERH0	A0A3B6ERH0_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_037240 {ECO:0000313|EMBL:KAF7024982.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6JPC8|A0A3B6JPC8_WHEAT	47.718	482	225	9	187	644	172	650	7.98e-122	382	A0A3B6JPC8	A0A3B6JPC8_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063428 {ECO:0000313|EMBL:KAF7055964.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6JPC8|A0A3B6JPC8_WHEAT	64.286	56	20	0	80	135	24	79	1.26e-14	79.7	A0A3B6JPC8	A0A3B6JPC8_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063428 {ECO:0000313|EMBL:KAF7055964.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B5Y7D9|A0A3B5Y7D9_WHEAT	44.731	465	223	8	187	643	119	557	1.85e-116	365	A0A3B5Y7D9	A0A3B5Y7D9_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KR57|A0A3B6KR57_WHEAT	45.339	472	242	8	249	704	13	484	3.04e-116	360	A0A3B6KR57	A0A3B6KR57_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_068951 {ECO:0000313|EMBL:KAF7062342.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LN91|A0A3B6LN91_WHEAT	44.106	492	224	10	188	670	25	474	3.81e-116	360	A0A3B6LN91	A0A3B6LN91_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_072412 {ECO:0000313|EMBL:KAF7066421.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KLR3|A0A3B6KLR3_WHEAT	44.309	492	245	9	188	670	25	496	1.71e-115	358	A0A3B6KLR3	A0A3B6KLR3_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_067382 {ECO:0000313|EMBL:KAF7060598.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6CDZ7|A0A3B6CDZ7_WHEAT	41.829	514	261	10	172	670	5	495	8.37e-112	349	A0A3B6CDZ7	A0A3B6CDZ7_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_025740 {ECO:0000313|EMBL:KAF7011426.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LRH3|A0A3B6LRH3_WHEAT	40.381	577	236	13	80	644	5	485	2.07e-107	337	A0A3B6LRH3	A0A3B6LRH3_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_072978 {ECO:0000313|EMBL:KAF7067059.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6JQ74|A0A3B6JQ74_WHEAT	38.200	589	253	15	68	643	1	491	9.72e-101	322	A0A3B6JQ74	A0A3B6JQ74_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0000259|PROSITE:PS50089};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063567 {ECO:0000313|EMBL:KAF7056129.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6FXQ8|A0A3B6FXQ8_WHEAT	50.588	340	158	6	311	643	5	341	2.71e-92	295	A0A3B6FXQ8	A0A3B6FXQ8_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_043178 {ECO:0000313|EMBL:KAF7031932.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6DJY1|A0A3B6DJY1_WHEAT	40.213	470	210	10	209	670	94	500	6.78e-89	289	A0A3B6DJY1	A0A3B6DJY1_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_031703 {ECO:0000313|EMBL:KAF7018408.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KLR1|A0A3B6KLR1_WHEAT	47.985	273	128	4	276	542	1	265	1.56e-70	233	A0A3B6KLR1	A0A3B6KLR1_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|Pfam:PF00092};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_066581 {ECO:0000313|EMBL:KAF7059715.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6AR89|A0A3B6AR89_WHEAT	28.351	582	357	16	76	614	125	689	1.92e-47	181	A0A3B6AR89	A0A3B6AR89_WHEAT	RecName: Full=RING-type domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_014775 {ECO:0000313|EMBL:KAF6998679.1}']}]	['Metal-binding', 'Reference proteome', 'Zinc', 'Zinc-finger']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LXX8|A0A3B6LXX8_WHEAT	30.087	462	282	12	202	656	1123	1550	1.45e-45	177	A0A3B6LXX8	A0A3B6LXX8_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069292.1}']}]	['Coiled coil', 'Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LXX8|A0A3B6LXX8_WHEAT	29.012	486	275	20	191	645	660	1106	1.05e-35	147	A0A3B6LXX8	A0A3B6LXX8_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069292.1}']}]	['Coiled coil', 'Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LXX8|A0A3B6LXX8_WHEAT	26.667	360	215	14	211	561	320	639	1.81e-15	82.8	A0A3B6LXX8	A0A3B6LXX8_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069292.1}']}]	['Coiled coil', 'Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LY34|A0A3B6LY34_WHEAT	30.087	462	282	12	202	656	1145	1572	1.48e-45	177	A0A3B6LY34	A0A3B6LY34_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069293.1}']}]	['ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Coiled coil', 'Kinase', 'Nucleotide-binding {ECO:0000256|ARBA:ARBA00022741, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Reference proteome', 'Transferase']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LY34|A0A3B6LY34_WHEAT	29.012	486	275	20	191	645	682	1128	8.75e-36	147	A0A3B6LY34	A0A3B6LY34_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069293.1}']}]	['ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Coiled coil', 'Kinase', 'Nucleotide-binding {ECO:0000256|ARBA:ARBA00022741, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Reference proteome', 'Transferase']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LY34|A0A3B6LY34_WHEAT	26.667	360	215	14	211	561	342	661	1.83e-15	82.8	A0A3B6LY34	A0A3B6LY34_WHEAT	RecName: Full=Protein kinase domain-containing protein {ECO:0008006|Google:ProtNLM};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_074946 {ECO:0000313|EMBL:KAF7069293.1}']}]	['ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Coiled coil', 'Kinase', 'Nucleotide-binding {ECO:0000256|ARBA:ARBA00022741, ECO:0000256|PROSITE-', 'ProRule:PRU10141}', 'Reference proteome', 'Transferase']	[]
AUGUSTUS_g1.t1	tr|A0A3B6RA72|A0A3B6RA72_WHEAT	30.769	507	286	16	188	670	3	468	1.23e-42	164	A0A3B6RA72	A0A3B6RA72_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_095037 {ECO:0000313|EMBL:KAF7092565.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6KBE6|A0A3B6KBE6_WHEAT	31.183	465	265	17	226	670	38	467	1.81e-41	160	A0A3B6KBE6	A0A3B6KBE6_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_063857 {ECO:0000313|EMBL:KAF7056455.1}']}]	['Coiled coil', 'Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6TB53|A0A3B6TB53_WHEAT	30.375	507	292	16	188	672	3	470	8.42e-41	158	A0A3B6TB53	A0A3B6TB53_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_106417 {ECO:0000313|EMBL:KAF7105634.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6I7E8|A0A3B6I7E8_WHEAT	30.531	452	262	12	241	670	47	468	9.57e-40	155	A0A3B6I7E8	A0A3B6I7E8_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_055729 {ECO:0000313|EMBL:KAF7046722.1}']}]	['Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6LEW5|A0A3B6LEW5_WHEAT	28.911	505	297	15	187	670	3	466	1.02e-39	155	A0A3B6LEW5	A0A3B6LEW5_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_069531 {ECO:0000313|EMBL:KAF7062993.1}']}]	['Coiled coil', 'Reference proteome']	[]
AUGUSTUS_g1.t1	tr|A0A3B6NJI0|A0A3B6NJI0_WHEAT	32.692	416	231	15	245	645	59	440	5.14e-39	155	A0A3B6NJI0	A0A3B6NJI0_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_081387 {ECO:0000313|EMBL:KAF7076778.1}']}]	['Coiled coil', 'Membrane', 'Reference proteome', 'Transmembrane', 'Transmembrane helix']	[]
AUGUSTUS_g1.t1	tr|A0A3B6MJM3|A0A3B6MJM3_WHEAT	29.960	504	293	17	187	670	3	466	9.94e-39	152	A0A3B6MJM3	A0A3B6MJM3_WHEAT	RecName: Full=VWFA domain-containing protein {ECO:0000259|PROSITE:PS50234};	Triticum aestivum (Wheat).	[{'ORFNames': ['CFC21_075522 {ECO:0000313|EMBL:KAF7069952.1}']}]	['Reference proteome']	[]
